Full_Name,Specialty,Add_Specialty,Full_Address,Practice,Address,City,State,Zip,Phone,URL
"Alex Balekian, MD",Critical Care Medicine,Pulmonary Medicine,"Pulmonary Consultants and Wellness Center8540 S. Sepulveda Blvd., Suite 1010 Los Angeles, CA 90045",Pulmonary Consultants and Wellness Center,"8540 S. Sepulveda Blvd., Suite 1010 Los Angeles, CA 90045",Los Angeles,CA,90045,310-295-0075,https://www.stfrancismedicalcenter.com/find-a-provider/alex-balekian-md/
"Robby T.. Ayoub, MD",Critical Care Medicine,Internal Medicine,"8201 Newman Ave., Suite 301 Huntington Beach, CA 92647",,"8201 Newman Ave., Suite 301 Huntington Beach, CA 92647",Huntington Beach,CA,92647,714-847-6900,https://www.stfrancismedicalcenter.com/find-a-provider/robby-t-ayoub-md/
"Brady J.. Banta, MD",Radiology - Telemedicine,,"Advanced Teleradiology6789 Quail Hill Parkway no 728Irvine, CA 92603",Advanced Teleradiology,"6789 Quail Hill Parkway no 728Irvine, CA 92603",Irvine,CA,92603,800-723-6186,https://www.stfrancismedicalcenter.com/find-a-provider/brady-j-banta-md/
"Elias I.. Ayoub, MD",Otolaryngology,,"11480 Brookshire Ave Ste 313Downey, CA 90241",,"11480 Brookshire Ave Ste 313Downey, CA 90241",Downey,CA,90241,562-862-5160,https://www.stfrancismedicalcenter.com/find-a-provider/elias-i-ayoub-md/
"Fayez M.. Bany-Mohammed, MD",Neonatal-Perinatal Medicine,Pediatrics,"101 The City Dr. SoOrange, CA 92868",,"101 The City Dr. SoOrange, CA 92868",Orange,CA,92868,714-456-6933,https://www.stfrancismedicalcenter.com/find-a-provider/fayez-m-bany-mohammed-md/
"Eleanor V.. Azurin, MD",Family Medicine,,"Eleanor V Azurin MD Inc3045 E.FLORENCE AVENUEHUNTINGTON PARK, CA 90255",Eleanor V Azurin MD Inc,"3045 E.FLORENCE AVENUEHUNTINGTON PARK, CA 90255",HUNTINGTON PARK,CA,90255,323-587-7771,https://www.stfrancismedicalcenter.com/find-a-provider/eleanor-v-azurin-md/
"Jack Barbour, MD",Psychiatry,,"Barbour & Floyd Medical Associates2610 Industry Way, Suite A Lynwood, CA 90262",Barbour & Floyd Medical Associates,"2610 Industry Way, Suite A Lynwood, CA 90262",Lynwood,CA,90262,310-631-8004,https://www.stfrancismedicalcenter.com/find-a-provider/jack-barbour-md/
"Stevan R.. Clark, MD",General Surgery,,"10220 S. Western Ave.Los Angeles, CA 90047",,"10220 S. Western Ave.Los Angeles, CA 90047",Los Angeles,CA,90047,323-757-1744,https://www.stfrancismedicalcenter.com/find-a-provider/stevan-r-clark-md/
"Brittany B.. Clark, NP",Nurse Practitioner,,"Desert Trauma Surgeons3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Desert Trauma Surgeons,"3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Lynwood,CA,90262,310-554-4127,https://www.stfrancismedicalcenter.com/find-a-provider/brittany-b-clark-np/
"Michael L.. Cogan, MD",Obstetrics and Gynecology,,"780 Atlantic avenueLong Beach, CA 90813",,"780 Atlantic avenueLong Beach, CA 90813",Long Beach,CA,90813,562-989-5722,https://www.stfrancismedicalcenter.com/find-a-provider/michael-l-cogan-md/
"Cody T.. Donahue, PA",Physician Assistant,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/cody-t-donahue-pa/
"Jason A.. Davis, MD",Orthopaedic Surgery,,,,,,,,310-900-4788,https://www.stfrancismedicalcenter.com/find-a-provider/?fbclid=IwAR0Gwi2H4D1uqJTOQnCsPcbGhf8EH8_B7z-ZdbsPr8xsMN-9TbY4E-EoPc4
"Kenneth Cohn, MD",Ophthalmology,,"3849 Tweedy Blvd.South Gate, CA 90280",,"3849 Tweedy Blvd.South Gate, CA 90280",South Gate,CA,90280,323-567-1396,https://www.stfrancismedicalcenter.com/find-a-provider/kenneth-cohn-md/
"Arielle M.. Donner, NP",Critical Care Medicine,,"Pulmonary Consultants and Wellness Center, Inc.8540 South Sepulveda Blvd, Suite 1010 Los Angeles, CA 90045","Pulmonary Consultants and Wellness Center, Inc.","8540 South Sepulveda Blvd, Suite 1010 Los Angeles, CA 90045",Los Angeles,CA,90045,310-295-0075,https://www.stfrancismedicalcenter.com/find-a-provider/arielle-m-donner-np/
"Alex Dawoodian, DPM",Podiatrist,,"19360 Rinaldi St #363Porter Ranch, CA 91326",,"19360 Rinaldi St #363Porter Ranch, CA 91326",Porter Ranch,CA,91326,866-895-8716,https://www.stfrancismedicalcenter.com/find-a-provider/alex-dawoodian-dpm/
"Mary Jo L.. Emfield, PA",Physician Assistant,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/mary-jo-l-emfield-pa/
"Rebecca J.. Coleman, MD",Neonatal-Perinatal Medicine,Pediatrics,"UC Irvine Medical Center101 The City Drive, Bldg 56 - Ste 600 Orange, CA 92868",UC Irvine Medical Center,"101 The City Drive, Bldg 56 - Ste 600 Orange, CA 92868",Orange,CA,92868,714-456-6933,https://www.stfrancismedicalcenter.com/find-a-provider/rebecca-j-coleman-md/
"Nita Doshi, MD",Pediatric Cardiology,Pediatrics,"C/O CHOC Peds Subspecialty Faculty1201 W. La Veta AvenueOrange, CA ",C/O CHOC Peds Subspecialty Faculty,"1201 W. La Veta AvenueOrange, CA ",Orange,CA,,714-509-3939,https://www.stfrancismedicalcenter.com/find-a-provider/nita-doshi-md/
"Bernardita L.. de los Reyes, MD",Obstetrics and Gynecology,,"Clinica Santa Isabel2760 Florence Ave.Huntington Park, CA 90255",Clinica Santa Isabel,"2760 Florence Ave.Huntington Park, CA 90255",Huntington Park,CA,90255,323-587-2222,https://www.stfrancismedicalcenter.com/find-a-provider/bernardita-l-de-los-reyes-md/
"Ersno Eromo, MD",Orthopaedic Surgery- Spine,Orthopaedic Surgery,"1513 S Grand Ave, Suite 300 Los Angeles, CA 90015",,"1513 S Grand Ave, Suite 300 Los Angeles, CA 90015",Los Angeles,CA,90015,310-929-6336,https://www.stfrancismedicalcenter.com/find-a-provider/ersno-eromo-md/
"Annette A.. Coronel-Perey, MD",Pediatrics,,"1045 W Redondo Beach Blvd, Suite 100 Gardena, CA 90247",,"1045 W Redondo Beach Blvd, Suite 100 Gardena, CA 90247",Gardena,CA,90247,310-532-5558,https://www.stfrancismedicalcenter.com/find-a-provider/annette-a-coronel-perey-md/
"Viet Q.. Duong, MD",Emergency Medicine,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/viet-q-duong-md/
"Elizabeth R.. De Oliveira, MD",Pediatric Cardiology,Pediatrics,"Pacific Pediatric Cardiology50 W. Bellefontaine St., Suite 405 Pasadena, CA 91105",Pacific Pediatric Cardiology,"50 W. Bellefontaine St., Suite 405 Pasadena, CA 91105",Pasadena,CA,91105,626-796-9259,https://www.stfrancismedicalcenter.com/find-a-provider/elizabeth-r-de-oliveira-md/
"Jonathan J.. Eskenazi, MD",Neurology,Internal Medicine,"948 N. Fairfax Ave, Suite 201 Los Angeles, CA 90046",,"948 N. Fairfax Ave, Suite 201 Los Angeles, CA 90046",Los Angeles,CA,90046,310-933-4590,https://www.stfrancismedicalcenter.com/find-a-provider/jonathan-j-eskenazi-md/
"Jeffrey J.. Crudo, MD",Internal Medicine,,"Epic Medical Group4955 Van Nuys Blvd, Ste 308 Sherman Oaks, CA 91403",Epic Medical Group,"4955 Van Nuys Blvd, Ste 308 Sherman Oaks, CA 91403",Sherman Oaks,CA,91403,657-276-7080,https://www.stfrancismedicalcenter.com/find-a-provider/jeffrey-j-crudo-md/
"John T.. Duong, MD",Internal Medicine,,"P.O. Box 1088Artesia, CA 90702",,"P.O. Box 1088Artesia, CA 90702",Artesia,CA,90702,562-869-1070,https://www.stfrancismedicalcenter.com/find-a-provider/john-t-duong-md/
"Liberation B.. Deleon, MD",Pediatrics,,"J & L De Leon Medical Corporation16660 Paramount Blvd., Ste 211 Paramount, CA 90723",J & L De Leon Medical Corporation,"16660 Paramount Blvd., Ste 211 Paramount, CA 90723",Paramount,CA,90723,562-633-5438,https://www.stfrancismedicalcenter.com/find-a-provider/liberation-b-deleon-md/
"Gabriel A.. Estremera, MD",Surgical Critical Care,General Surgery,"3737 Martin Luther King Jr. Blvd., Suite 301 Lynwood, CA 90262",,"3737 Martin Luther King Jr. Blvd., Suite 301 Lynwood, CA 90262",Lynwood,CA,90262,424-403-4778,https://www.stfrancismedicalcenter.com/find-a-provider/gabriel-a-estremera-md/
"Eric R.. Crum, DMD",Oral and Maxillofacial Surgery,,"1670 E 120th St, Module 4E Los Angeles, CA 90059",,"1670 E 120th St, Module 4E Los Angeles, CA 90059",Los Angeles,CA,90059,424-338-1200,https://www.stfrancismedicalcenter.com/find-a-provider/eric-r-crum-dmd/
"Andrew I.. Florentino, MD",Pediatrics,,"Pediatric Clinic3585 E. Imperial Hwy.Lynwood, CA 90262",Pediatric Clinic,"3585 E. Imperial Hwy.Lynwood, CA 90262",Lynwood,CA,90262,310-605-4260,https://www.stfrancismedicalcenter.com/find-a-provider/andrew-i-florentino-md/
"Wilburn P.. Durousseau, MD",Obstetrics and Gynecology,,"3660 E. Imperial Hwy.Lynwood, CA 90262",,"3660 E. Imperial Hwy.Lynwood, CA 90262",Lynwood,CA,90262,310-560-7966,https://www.stfrancismedicalcenter.com/find-a-provider/wilburn-p-durousseau-md/
"Monica Derbigny, MD",Emergency Medicine,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/monica-derbigny-md/
"Alphonso Faison, DDS",Pediatric Dentistry,Oral and Maxillofacial Surgery,"411 S. Long Beach Blvd., P.O. Box 6317  Compton, CA. 90224-6317 Compton, CA 90221",,"411 S. Long Beach Blvd., P.O. Box 6317  Compton, CA. 90224-6317 Compton, CA 90221",Compton,CA,90221,310-537-2217,https://www.stfrancismedicalcenter.com/find-a-provider/alphonso-faison-dds/
"Rajender S.. Dabas, PA",Physician Assistant,,"P.O. BOX 861393Los Angeles, CA 90086",,"P.O. BOX 861393Los Angeles, CA 90086",Los Angeles,CA,90086,310-237-0023,https://www.stfrancismedicalcenter.com/find-a-provider/rajender-s-dabas-pa/
"Gary E.. Ford, MD",Otolaryngology,,"1045 Redondo Beach Blvd., Suite 575 Gardena, CA 90247",,"1045 Redondo Beach Blvd., Suite 575 Gardena, CA 90247",Gardena,CA,90247,310-329-8633,https://www.stfrancismedicalcenter.com/find-a-provider/gary-e-ford-md/
"Jude O.. Duru, RN",Psychiatry,,,,,,,,310-900-8210,https://www.stfrancismedicalcenter.com/find-a-provider/?fbclid=IwAR0Gwi2H4D1uqJTOQnCsPcbGhf8EH8_B7z-ZdbsPr8xsMN-9TbY4E-EoPc4
"Edmond V.. Derderian, MD",Hospitalist,Internal Medicine,"Epic Medical Group4955 Van Nuys Blvd, Ste 308 Sherman Oaks, CA 91403",Epic Medical Group,"4955 Van Nuys Blvd, Ste 308 Sherman Oaks, CA 91403",Sherman Oaks,CA,91403,657-276-7080,https://www.stfrancismedicalcenter.com/find-a-provider/edmond-v-derderian-md/
"Jari E.. Faison, DDS",Pediatric Dentistry,Oral and Maxillofacial Surgery,"411 S. Long Beach Blvd.Compton, CA 90221",,"411 S. Long Beach Blvd.Compton, CA 90221",Compton,CA,90221,310-537-2217,https://www.stfrancismedicalcenter.com/find-a-provider/jari-e-faison-dds/
"Danielle N.. Dabbs, DO",Surgical Critical Care,General Surgery,"3737 Martin Luther King Jr. Blvd., Suite 301 Lynwood, CA 90262",,"3737 Martin Luther King Jr. Blvd., Suite 301 Lynwood, CA 90262",Lynwood,CA,90262,424-403-4778,https://www.stfrancismedicalcenter.com/find-a-provider/danielle-n-dabbs-do/
"Andrew J.. Fragen, MD",General Surgery,Surgical Critical Care,"Desert Trauma Surgeons3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Desert Trauma Surgeons,"3628 E. Imperial Hwy, Suite 408Lynwood, CA 90262",Lynwood,CA,90262,310-554-4127,https://www.stfrancismedicalcenter.com/find-a-provider/andrew-j-fragen-md/
"Diana Echeverry-Franck, MD","Endocrinology, Diabetes and Metabolism",Internal Medicine,"LA Endocrine Care Inc3621 MLK Jr. Blvd., Suite 1 Lynwood, CA 90262",LA Endocrine Care Inc,"3621 MLK Jr. Blvd., Suite 1 Lynwood, CA 90262",Lynwood,CA,90262,310-635-6002,https://www.stfrancismedicalcenter.com/find-a-provider/diana-echeverry-franck-md/
"Berj Dermendjian, DO",Internal Medicine,,"Epic Medical Group4955 Van Nuys Blvd, Ste 308 Sherman Oaks, CA 91403",Epic Medical Group,"4955 Van Nuys Blvd, Ste 308 Sherman Oaks, CA 91403",Sherman Oaks,CA,91403,213-279-1220,https://www.stfrancismedicalcenter.com/find-a-provider/berj-dermendjian-do/
"Kenneth W.. Fan, DO",Obstetrics and Gynecology,,"AllSafe Medical Group8077 Florence Ave, Ste 112 Downey, CA 90240",AllSafe Medical Group,"8077 Florence Ave, Ste 112 Downey, CA 90240",Downey,CA,90240,562-904-6031,https://www.stfrancismedicalcenter.com/find-a-provider/kenneth-w-fan-do/
"Chafik Dakak, MD",Pediatrics,,"3301 Beechwood Ave.Lynwood, CA 90262",,"3301 Beechwood Ave.Lynwood, CA 90262",Lynwood,CA,90262,310-604-0105,https://www.stfrancismedicalcenter.com/find-a-provider/chafik-dakak-md/
"David A.. Friedberg, MD",Orthopaedic Surgery,,"St Francis Orthopaedics3628 E. Imperial Hwy., Suite 300 Lynwood, CA 90262",St Francis Orthopaedics,"3628 E. Imperial Hwy., Suite 300 Lynwood, CA 90262",Lynwood,CA,90262,310-900-4788,https://www.stfrancismedicalcenter.com/find-a-provider/david-a-friedberg-md/
"Arthur J.. Edelstein, MD",Ophthalmology,,"3737 MLK Jr. Blvd., Suite 340 Lynwood, CA 90262",,"3737 MLK Jr. Blvd., Suite 340 Lynwood, CA 90262",Lynwood,CA,90262,310-638-0402,https://www.stfrancismedicalcenter.com/find-a-provider/arthur-j-edelstein-md/
"Mark W.. Deseran, MD",Diagnostic Radiology,,"SFMC - Radiology Dept3630 E. Imperial Hwy.Lynwood, CA 90262",SFMC - Radiology Dept,"3630 E. Imperial Hwy.Lynwood, CA 90262",Lynwood,CA,90262,310-900-2750,https://www.stfrancismedicalcenter.com/find-a-provider/mark-w-deseran-md/
"Amin Farah, MD",Cardiovascular Disease,Internal Medicine,"Cardio Medical Consultants Group3737 MLK Jr. Blvd., Suite 401 Lynwood, CA 90262",Cardio Medical Consultants Group,"3737 MLK Jr. Blvd., Suite 401 Lynwood, CA 90262",Lynwood,CA,90262,310-604-0443,https://www.stfrancismedicalcenter.com/find-a-provider/amin-farah-md/
"Maria L.. Davis, MD",Emergency Medicine,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/maria-l-davis-md/
"Hugh P.. Fulmer, MD",Infectious Disease,Internal Medicine,"3621 MLK Jr. Blvd., Suite 6 Lynwood, CA 90262",,"3621 MLK Jr. Blvd., Suite 6 Lynwood, CA 90262",Lynwood,CA,90262,310-605-0128,https://www.stfrancismedicalcenter.com/find-a-provider/hugh-p-fulmer-md/
"Hossein Eftekhari, MD",Interventional Cardiology,,"Cardiovascular Medical Associates8317 Davis St., Suite A Downey, CA 90241",Cardiovascular Medical Associates,"8317 Davis St., Suite A Downey, CA 90241",Downey,CA,90241,562-869-1511,https://www.stfrancismedicalcenter.com/find-a-provider/hossein-eftekhari-md/
"Jason H.. Deutsch, MD",Diagnostic Radiology,,"SFMC - Radiology Dept3630 E. Imperial Hwy.Lynwood, CA 90262",SFMC - Radiology Dept,"3630 E. Imperial Hwy.Lynwood, CA 90262",Lynwood,CA,90262,310-900-2750,https://www.stfrancismedicalcenter.com/find-a-provider/jason-h-deutsch-md/
"Doralice N.. Ferreira, DO",Internal Medicine,,"Applecare11525 Brookshire Ave, Ste 300 Downey, CA 90241",Applecare,"11525 Brookshire Ave, Ste 300 Downey, CA 90241",Downey,CA,90241,562-869-1070,https://www.stfrancismedicalcenter.com/find-a-provider/doralice-n-ferreira-do/
"Gary N.. Garshfield, MD",Pathology,,"SFMC - Pathology Dept., 3630 Imperial Hwy Lynwood, CA 90262",,"SFMC - Pathology Dept., 3630 Imperial Hwy Lynwood, CA 90262",Lynwood,CA,90262,310-900-8615,https://www.stfrancismedicalcenter.com/find-a-provider/gary-n-garshfield-md/
"Mohamed A.. El-Shahawy, MD",Nephrology,Internal Medicine,"5830 Whittier Blvd.Los Angeles, CA 90022",,"5830 Whittier Blvd.Los Angeles, CA 90022",Los Angeles,CA,90022,323-725-0051,https://www.stfrancismedicalcenter.com/find-a-provider/mohamed-a-el-shahawy-md/
"Larnell Marshod Ferrell, MD",Emergency Medicine,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/larnell-marshod-ferrell-md/
"Christopher G.. Goring, MD",Orthopaedic Surgery,,"Joint Replacement Insitute3630 E. Imperial Highway, 3rd floor Lynwood, CA 90262",Joint Replacement Insitute,"3630 E. Imperial Highway, 3rd floor Lynwood, CA 90262",Lynwood,CA,90262,310-900-4788,https://www.stfrancismedicalcenter.com/find-a-provider/christopher-g-goring-md/
"Sharon George, MD",Internal Medicine,,"Applecare Hospitalist Medical Group11525 Brookshire Ave, Ste 300 Downey, CA 90241",Applecare Hospitalist Medical Group,"11525 Brookshire Ave, Ste 300 Downey, CA 90241",Downey,CA,90241,562-869-1070,https://www.stfrancismedicalcenter.com/find-a-provider/sharon-george-md/
"Joshua D.. Ellenhorn, MD",General Surgical Oncology,General Surgery,"Surgery Group of Los Angeles8635 W. Third Street, Suite 880W Los Angeles, CA 90048",Surgery Group of Los Angeles,"8635 W. Third Street, Suite 880W Los Angeles, CA 90048",Los Angeles,CA,90048,310-289-1518,https://www.stfrancismedicalcenter.com/find-a-provider/joshua-d-ellenhorn-md/
"Denise L.. Fisher, NP",Nurse Practitioner,,"3630 E. Imperial Hwy, Neuro Dept Lynwood, CA 90262",,"3630 E. Imperial Hwy, Neuro Dept Lynwood, CA 90262",Lynwood,CA,90262,310-900-8526,https://www.stfrancismedicalcenter.com/find-a-provider/denise-l-fisher-np/
"Ramon N.. Guadiz, MD",Nephrology,Internal Medicine,"Renal Medical Associates3625 MLK Jr. Blvd., Suite 2 Lynwood, CA 90262",Renal Medical Associates,"3625 MLK Jr. Blvd., Suite 2 Lynwood, CA 90262",Lynwood,CA,90262,310-638-0533,https://www.stfrancismedicalcenter.com/find-a-provider/ramon-n-guadiz-md/
"Hiruy H.. Gessesse, MD",Psychiatry,,"4712 Admiralty Way, Suite 579 Marina del Rey, CA 90292",,"4712 Admiralty Way, Suite 579 Marina del Rey, CA 90292",Marina del Rey,CA,90292,310-936-9906,https://www.stfrancismedicalcenter.com/find-a-provider/hiruy-h-gessesse-md/
"Robert Flashman, MD",Emergency Medicine,,"Vituity3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Vituity,"3630 E. Imperial Hwy., Emergency Department Lynwood, CA 90262",Lynwood,CA,90262,310-900-4534,https://www.stfrancismedicalcenter.com/find-a-provider/robert-flashman-md/
"Narayana R.. Gunda, MD",Geriatric Medicine,Internal Medicine,"11525 Brookshire Ave, #300 Downey, CA 90241",,"11525 Brookshire Ave, #300 Downey, CA 90241",Downey,CA,90241,562-869-1070,https://www.stfrancismedicalcenter.com/find-a-provider/narayana-r-gunda-md/
"Ignatius P.. Godoy, MD",Pediatrics,,"16660 Paramount Blvd. Ste #206Paramount, CA 90723",,"16660 Paramount Blvd. Ste #206Paramount, CA 90723",Paramount,CA,90723,562-634-9433,https://www.stfrancismedicalcenter.com/find-a-provider/ignatius-p-godoy-md/
